https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1637884800000,2021-11-26 00:00:00,ZEC/USD,302.201131,304.946894,251.63,258.050587,1663184.9887969778,6445.18971312
1637798400000,2021-11-25 00:00:00,ZEC/USD,269.760514,311.852461,260.842014,301.992444,1801747.1911396289,5966.19957531
1637712000000,2021-11-24 00:00:00,ZEC/USD,225.317027,282.8,225.167055,269.727549,2101424.7748806616,7790.91636235
1637625600000,2021-11-23 00:00:00,ZEC/USD,214.118265,227.992985,203.812306,225.602037,1089665.025872014,4830.0318577
1637539200000,2021-11-22 00:00:00,ZEC/USD,237.30737,249.0,205.0,214.264553,1247566.0214045383,5822.54975887
1637452800000,2021-11-21 00:00:00,ZEC/USD,184.899534,241.708307,182.561046,237.003201,1592581.6403568592,6719.6629988
1637366400000,2021-11-20 00:00:00,ZEC/USD,164.175084,194.764995,164.056072,184.752262,1181180.6138638174,6393.32152731
1637280000000,2021-11-19 00:00:00,ZEC/USD,154.317136,170.264921,153.029218,164.132446,828441.5214738331,5047.39642687
1637193600000,2021-11-18 00:00:00,ZEC/USD,164.191387,166.873196,148.0,154.155662,791807.5533268094,5136.41564023
1637107200000,2021-11-17 00:00:00,ZEC/USD,171.256376,173.381367,159.136527,164.199502,766346.2405841862,4667.16543747
1637020800000,2021-11-16 00:00:00,ZEC/USD,199.870041,199.870041,167.521325,171.341443,766114.190158448,4471.27196284
1636934400000,2021-11-15 00:00:00,ZEC/USD,205.9,207.913827,196.664044,199.993921,758764.1186296041,3793.93590983
1636848000000,2021-11-14 00:00:00,ZEC/USD,201.645535,205.594642,197.360821,205.594642,799896.4526472014,3890.64834018
1636761600000,2021-11-13 00:00:00,ZEC/USD,204.430573,215.415832,201.637531,201.80443,910232.280191406,4510.46728851
1636675200000,2021-11-12 00:00:00,ZEC/USD,206.644022,211.813904,194.066,204.002523,1149170.3794116897,5633.11846595
1636588800000,2021-11-11 00:00:00,ZEC/USD,181.000392,220.459936,179.234018,206.820663,1176691.934804454,5689.43120932
1636502400000,2021-11-10 00:00:00,ZEC/USD,199.350594,204.5,173.999999,181.586274,1157417.3835805862,6373.92550706
