https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1643673600000,2022-02-01 00:00:00,WAVES/USD,9.36588,9.450869,9.1,9.222824,641280.0649098791,69531.85541759
1643587200000,2022-01-31 00:00:00,WAVES/USD,9.493458,9.493458,8.752642,9.365752,654204.4416834003,69850.71158017
1643500800000,2022-01-30 00:00:00,WAVES/USD,10.15837,10.15837,9.353006,9.485324,627333.1612909277,66137.24120451
1643414400000,2022-01-29 00:00:00,WAVES/USD,10.404052,10.65244,9.8,10.148459,695105.0789381836,68493.65789803
1643328000000,2022-01-28 00:00:00,WAVES/USD,10.165083,10.49475,9.622575,10.389131,668232.3687881597,64320.33331644
1643241600000,2022-01-27 00:00:00,WAVES/USD,10.561748,10.704532,9.581944,10.16741,678691.9162328518,66751.70139031
1643155200000,2022-01-26 00:00:00,WAVES/USD,8.628282,12.3,8.562102,10.525044,953810.8370982783,90622.97859261
1643068800000,2022-01-25 00:00:00,WAVES/USD,8.768092,8.768092,8.329895,8.624831,574100.6369937379,66563.69695751
1642982400000,2022-01-24 00:00:00,WAVES/USD,9.512333,9.512333,7.844585,8.771721,702129.1953966431,80044.63381777
1642896000000,2022-01-23 00:00:00,WAVES/USD,9.261033,9.737704,8.97767,9.516102,635916.3456426462,66825.29733736
1642809600000,2022-01-22 00:00:00,WAVES/USD,11.033978,11.6,8.281838,9.273961,812302.5884805827,87589.60583084
1642723200000,2022-01-21 00:00:00,WAVES/USD,12.883525,13.026485,10.789798,11.046382,801285.7567812195,72538.29867383
1642636800000,2022-01-20 00:00:00,WAVES/USD,13.450652,13.860639,12.848135,12.883613,851624.2839163415,66101.35556822
1642550400000,2022-01-19 00:00:00,WAVES/USD,13.813122,14.038128,13.142028,13.44095,786849.1789303076,58541.18785728
1642464000000,2022-01-18 00:00:00,WAVES/USD,13.945735,14.146889,13.307672,13.80485,880969.0336504786,63815.90771725
1642377600000,2022-01-17 00:00:00,WAVES/USD,14.492564,14.515537,13.614352,13.95673,891419.2075651695,63870.20509569
1642291200000,2022-01-16 00:00:00,WAVES/USD,14.75,15.058563,14.326618,14.507408,938254.0496216923,64674.13404391
1642204800000,2022-01-15 00:00:00,WAVES/USD,14.38232,14.996,14.283774,14.75,1000699.1745618249,67844.0118347
1642118400000,2022-01-14 00:00:00,WAVES/USD,14.223241,14.60916,14.0,14.377066,941818.2682094949,65508.37759314
1642032000000,2022-01-13 00:00:00,WAVES/USD,14.977875,15.00218,14.174735,14.199317,925428.9930898083,65174.19063817
1641945600000,2022-01-12 00:00:00,WAVES/USD,14.293951,15.172087,14.207243,14.959118,991507.0887479355,66281.1195652
1641859200000,2022-01-11 00:00:00,WAVES/USD,13.596236,14.314269,13.520219,14.29736,931985.3808362308,65185.83716408
1641772800000,2022-01-10 00:00:00,WAVES/USD,14.308761,14.554327,13.147221,13.589647,880596.0412775006,64799.03718452
1641686400000,2022-01-09 00:00:00,WAVES/USD,13.954498,14.481358,13.779702,14.314407,931630.905131925,65083.44391297
1641600000000,2022-01-08 00:00:00,WAVES/USD,13.955576,14.311332,13.233171,13.960639,891642.6556446967,63868.32691861
1641513600000,2022-01-07 00:00:00,WAVES/USD,14.363925,14.508878,12.96869,13.953114,983608.6985409216,70493.84807871
1641427200000,2022-01-06 00:00:00,WAVES/USD,14.551311,14.610402,13.756875,14.365617,942983.927475363,65641.72826516
1641340800000,2022-01-05 00:00:00,WAVES/USD,15.908803,16.374855,13.735627,14.546361,959617.3305929394,65969.58033648
1641254400000,2022-01-04 00:00:00,WAVES/USD,15.706792,16.4141,15.268624,15.913644,1077747.441342261,67724.74245008
1641168000000,2022-01-03 00:00:00,WAVES/USD,15.472982,15.9709,15.23967,15.694962,1003620.4736531116,63945.39047964
1641081600000,2022-01-02 00:00:00,WAVES/USD,15.192326,15.696167,14.891081,15.509897,1075291.7971927433,69329.3963972
1640995200000,2022-01-01 00:00:00,WAVES/USD,14.626314,15.422241,14.626314,15.241018,1010907.5722037585,66328.08728418
1640908800000,2021-12-31 00:00:00,WAVES/USD,14.748042,15.126356,14.328861,14.648133,946783.6103708674,64635.1047175
1640822400000,2021-12-30 00:00:00,WAVES/USD,14.480129,15.000446,14.0,14.755626,976236.0539205172,66160.26008795
1640736000000,2021-12-29 00:00:00,WAVES/USD,15.13541,15.364422,14.232496,14.470234,938098.5599114725,64829.53626814
1640649600000,2021-12-28 00:00:00,WAVES/USD,16.578542,16.600381,14.9006,15.119699,1059735.4362408626,70089.71780727
1640563200000,2021-12-27 00:00:00,WAVES/USD,16.328804,17.139449,16.062268,16.616573,1151417.8118343388,69293.33815308
1640476800000,2021-12-26 00:00:00,WAVES/USD,16.228025,16.434268,15.72872,16.293763,1030803.8371799643,63263.70631388
1640390400000,2021-12-25 00:00:00,WAVES/USD,15.873387,16.417526,15.852041,16.246213,1050999.9165748155,64691.99416349
1640304000000,2021-12-24 00:00:00,WAVES/USD,16.563309,16.711111,15.7001,15.918728,1019791.6624104682,64062.38377906
1640217600000,2021-12-23 00:00:00,WAVES/USD,16.121524,16.817972,15.721443,16.548307,1143607.8925288832,69107.24417482
1640131200000,2021-12-22 00:00:00,WAVES/USD,16.077346,16.45,15.908674,16.111145,1082764.8682689825,67205.95390762
1640044800000,2021-12-21 00:00:00,WAVES/USD,15.588299,16.6088,15.2852,16.059215,1068378.594762207,66527.44824465
1639958400000,2021-12-20 00:00:00,WAVES/USD,16.188689,16.2871,15.030419,15.462838,1039821.1431668114,67246.46168878
1639872000000,2021-12-19 00:00:00,WAVES/USD,17.294317,17.339907,16.17,16.201858,1068499.3239128327,65949.18458814
1639785600000,2021-12-18 00:00:00,WAVES/USD,17.612611,17.96837,17.085923,17.240576,1122570.7173486482,65112.13531083
1639699200000,2021-12-17 00:00:00,WAVES/USD,18.897764,20.1899,17.404,17.672239,1251604.1903053992,70823.18150549
1639612800000,2021-12-16 00:00:00,WAVES/USD,17.397857,19.3902,16.857825,18.887304,1278186.085756304,67674.35340461
1639526400000,2021-12-15 00:00:00,WAVES/USD,15.901429,18.18,15.835179,17.313694,1175883.6320849236,67916.39219712
1639440000000,2021-12-14 00:00:00,WAVES/USD,15.387203,16.502942,14.9,15.929744,1085408.7864218345,68137.2397712
