https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT
1642032000,2022-01-13 00:00:00,ALGO/USDT,1.4995,1.5009,1.3419,1.3609,7275928.4098317,10325684.546462383977
1641945600,2022-01-12 00:00:00,ALGO/USDT,1.4464,1.5038,1.4381,1.4999,7148797.97752677,10552731.122350951007
1641859200,2022-01-11 00:00:00,ALGO/USDT,1.3625,1.4535,1.3487,1.4464,5880786.70484896,8310568.98307060861
1641772800,2022-01-10 00:00:00,ALGO/USDT,1.4011,1.4495,1.3,1.3615,5361163.36987701,7379595.87082161915
1641686400,2022-01-09 00:00:00,ALGO/USDT,1.3843,1.4413,1.3679,1.3994,3211483.23532013,4525893.769447946535
1641600000,2022-01-08 00:00:00,ALGO/USDT,1.446,1.4695,1.3154,1.3852,5030911.17334958,7026078.882743564409
1641513600,2022-01-07 00:00:00,ALGO/USDT,1.5631,1.5699,1.3913,1.4454,7305929.3809269,10610031.361731138668
1641427200,2022-01-06 00:00:00,ALGO/USDT,1.5537,1.6048,1.4829,1.5642,6461661.03804306,9980330.587366906237
1641340800,2022-01-05 00:00:00,ALGO/USDT,1.6719,1.803,1.445,1.5541,11006337.27285264,18466561.23293350407
1641254400,2022-01-04 00:00:00,ALGO/USDT,1.7938,1.8446,1.6554,1.6715,10186294.10670102,17824461.117946949729
1641168000,2022-01-03 00:00:00,ALGO/USDT,1.6723,1.8361,1.6258,1.7937,10179367.54120544,17812263.136540662623
1641081600,2022-01-02 00:00:00,ALGO/USDT,1.7414,1.7849,1.6602,1.6738,5483889.57529925,9323991.710528502682
1640995200,2022-01-01 00:00:00,ALGO/USDT,1.6585,1.7691,1.63,1.742,5547121.79107118,9453543.878514989082
1640908800,2021-12-31 00:00:00,ALGO/USDT,1.7299,1.7849,1.6282,1.6595,9601933.81584835,16453673.689982264648
1640822400,2021-12-30 00:00:00,ALGO/USDT,1.5817,1.7699,1.5187,1.7296,12761253.02967749,21280589.344429100851
1640736000,2021-12-29 00:00:00,ALGO/USDT,1.4662,1.6454,1.4078,1.5808,9245193.19149005,14148638.150754891881
1640649600,2021-12-28 00:00:00,ALGO/USDT,1.6616,1.6629,1.4513,1.4662,7890425.60966047,12311971.148714548085
