https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1643846400,2022-02-03 00:00:00,ATOM/USDT,26.3488,29.7461,25.5778,29.671,2083613.37168104,57573899.149109806287
1643760000,2022-02-02 00:00:00,ATOM/USDT,28.8534,28.9899,26.13,26.3166,1355313.91365697,37591215.841767497036
1643673600,2022-02-01 00:00:00,ATOM/USDT,28.0619,29.8291,27.7836,28.8458,1697804.57330489,49207814.601699244965
1643587200,2022-01-31 00:00:00,ATOM/USDT,27.1748,28.9384,25.51,28.0424,2028194.82233924,55358011.595130652927
1643500800,2022-01-30 00:00:00,ATOM/USDT,29.0722,29.1879,26.3603,27.1763,1501594.73759164,41746324.300608188831
1643414400,2022-01-29 00:00:00,ATOM/USDT,29.4769,30.2348,28.3319,29.0492,1555645.75372235,45676534.745254649233
1643328000,2022-01-28 00:00:00,ATOM/USDT,30.0779,30.408,27.7086,29.481,3159413.77601516,91492880.72495404781
1643241600,2022-01-27 00:00:00,ATOM/USDT,32.3513,32.9372,28.5823,30.0778,2489447.05133618,76709763.548757346989
1643155200,2022-01-26 00:00:00,ATOM/USDT,35.8806,36.3854,31.243,32.3496,3071043.44794644,104740135.314287955831
1643068800,2022-01-25 00:00:00,ATOM/USDT,36.0188,37.194,34.767,35.8762,3273418.02507053,117656015.38933876025
1642982400,2022-01-24 00:00:00,ATOM/USDT,34.5653,37.0462,29.8647,36.0397,4539728.7586513,151454532.365020506697
1642896000,2022-01-23 00:00:00,ATOM/USDT,29.2754,34.7323,29.1192,34.6025,3551729.72169849,114357546.842062875551
1642809600,2022-01-22 00:00:00,ATOM/USDT,34.5765,35.047,27.32,29.2472,4268128.60116939,129435596.355612613297
1642723200,2022-01-21 00:00:00,ATOM/USDT,38.9784,41.078,32.0201,34.5898,4423681.29800246,163317481.450603244074
1642636800,2022-01-20 00:00:00,ATOM/USDT,37.0187,42.11,36.9,38.9809,2286094.16465895,90563489.841077841787
1642550400,2022-01-19 00:00:00,ATOM/USDT,38.2557,38.8245,35.3354,37.0239,1518769.42842909,56106501.991913678626
1642464000,2022-01-18 00:00:00,ATOM/USDT,39.1328,40.0858,36.2657,38.2558,1583031.37842562,60102987.122986191573
1642377600,2022-01-17 00:00:00,ATOM/USDT,43.6493,44.5424,37.9395,39.1208,1719789.20082869,71240811.584705478734
1642291200,2022-01-16 00:00:00,ATOM/USDT,39.11,43.79,38.7715,43.6516,1352713.0472537,56953009.738327456656
1642204800,2022-01-15 00:00:00,ATOM/USDT,40.4437,40.95,39.11,39.11,977196.49767198,39090771.864958813734
1642118400,2022-01-14 00:00:00,ATOM/USDT,37.6169,40.8105,36.7216,40.4227,1620610.18634532,62113782.099150290761
1642032000,2022-01-13 00:00:00,ATOM/USDT,40.2441,41.2719,37.4446,37.6465,1667341.05482395,66165406.847338577147
1641945600,2022-01-12 00:00:00,ATOM/USDT,38.677,42.3,38.5697,40.2522,1574327.72449419,64252316.479054297782
1641859200,2022-01-11 00:00:00,ATOM/USDT,37.8779,39.88,36.1368,38.6893,1792971.88771961,68411664.096171383009
1641772800,2022-01-10 00:00:00,ATOM/USDT,35.0051,38.236,32.7677,37.8605,2120661.86144826,76434670.538196206107
1641686400,2022-01-09 00:00:00,ATOM/USDT,35.8683,38.0948,34,34.9987,1534993.50590431,55588613.695463674214
