https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1641700800000,2022-01-09 04:00:00,QNT/USD,173.76,177.82,169.36,175.44,284.563451,49923.811843439995
1641614400000,2022-01-08 04:00:00,QNT/USD,183.81,188.43,168.9,173.76,552.617161,96022.75789536
1641528000000,2022-01-07 04:00:00,QNT/USD,175.44,189.65,172.0,183.81,894.68194,164451.4873914
1641441600000,2022-01-06 04:00:00,QNT/USD,162.06,184.33,157.31,175.44,1342.322423,235497.04589112
1641355200000,2022-01-05 04:00:00,QNT/USD,179.9,183.73,162.06,162.06,574.72258,93139.5413148
1641268800000,2022-01-04 04:00:00,QNT/USD,179.58,185.46,176.51,179.9,586.007943,105422.82894569999
1641182400000,2022-01-03 04:00:00,QNT/USD,183.51,189.65,176.0,179.58,816.172309,146568.22325022
1641096000000,2022-01-02 04:00:00,QNT/USD,178.11,188.26,176.62,183.51,522.924922,95961.95243622
1641009600000,2022-01-01 04:00:00,QNT/USD,176.04,180.26,172.5,178.11,724.307599,129006.42645789
1640923200000,2021-12-31 04:00:00,QNT/USD,181.36,186.16,173.16,176.04,1105.348309,194585.51631635998
1640836800000,2021-12-30 04:00:00,QNT/USD,174.02,230.0,174.02,181.36,2204.09265,399734.24300400005
1640750400000,2021-12-29 04:00:00,QNT/USD,191.74,194.07,172.71,174.02,343.248187,59732.049501739995
1640664000000,2021-12-28 04:00:00,QNT/USD,192.3,216.66,181.04,191.74,1328.009085,254632.4619579
1640577600000,2021-12-27 04:00:00,QNT/USD,196.33,209.0,192.1,192.3,624.559275,120102.7485825
1640491200000,2021-12-26 04:00:00,QNT/USD,190.59,196.89,188.81,196.33,532.269524,104500.47564692002
1640404800000,2021-12-25 04:00:00,QNT/USD,193.06,202.66,188.91,190.59,78.811126,15020.61250434
1640318400000,2021-12-24 04:00:00,QNT/USD,200.28,207.02,190.0,193.06,978.879885,188982.5505981
1640232000000,2021-12-23 04:00:00,QNT/USD,181.93,209.64,181.0,200.28,519.844323,104114.42101044001
1640145600000,2021-12-22 04:00:00,QNT/USD,183.69,186.86,180.94,181.93,87.439081,15907.79200633
1640059200000,2021-12-21 04:00:00,QNT/USD,176.3,190.55,174.02,183.69,293.759336,53960.65242984
1639972800000,2021-12-20 04:00:00,QNT/USD,178.33,179.21,167.27,176.3,508.025906,89564.9672278
1639886400000,2021-12-19 04:00:00,QNT/USD,187.36,187.8,177.6,178.33,164.527867,29340.25452211
1639800000000,2021-12-18 04:00:00,QNT/USD,181.39,190.68,180.14,187.36,238.506792,44686.632549120004
1639713600000,2021-12-17 04:00:00,QNT/USD,185.89,189.65,176.62,181.39,565.664581,102605.89834758999
1639627200000,2021-12-16 04:00:00,QNT/USD,187.83,188.4,182.52,185.89,41.756777,7762.167276529999
1639540800000,2021-12-15 04:00:00,QNT/USD,174.19,215.88,173.4,187.83,1030.474961,193554.11192462998
1639454400000,2021-12-14 04:00:00,QNT/USD,178.62,181.0,165.68,174.19,568.728554,99066.82682126001
1639368000000,2021-12-13 04:00:00,QNT/USD,192.52,194.16,169.58,178.62,735.129274,131308.79092188
1639281600000,2021-12-12 04:00:00,QNT/USD,221.19,221.85,187.36,192.52,1005.056215,193493.4225118
1639195200000,2021-12-11 04:00:00,QNT/USD,171.88,227.56,168.77,221.19,1306.687807,289026.27603033
1639108800000,2021-12-10 04:00:00,QNT/USD,162.45,175.0,159.5,171.88,259.760729,44647.67410052
1639022400000,2021-12-09 04:00:00,QNT/USD,169.03,169.03,152.53,162.45,152.959153,24848.214404849998
1638936000000,2021-12-08 04:00:00,QNT/USD,159.29,184.71,155.56,169.03,813.856879,137566.22825737
1638849600000,2021-12-07 04:00:00,QNT/USD,172.07,179.56,157.77,159.29,587.134901,93524.71838029
1638763200000,2021-12-06 04:00:00,QNT/USD,169.81,265.0,150.0,172.07,934.14601,160738.5039407
1638676800000,2021-12-05 04:00:00,QNT/USD,188.42,200.71,165.73,169.81,935.915724,158927.84909243998
1638590400000,2021-12-04 04:00:00,QNT/USD,184.6,209.07,153.33,188.42,859.083068,161868.43167256
1638504000000,2021-12-03 04:00:00,QNT/USD,200.71,203.53,184.6,184.6,305.32508,56363.009768
1638417600000,2021-12-02 04:00:00,QNT/USD,195.0,206.82,187.0,200.71,395.352721,79351.24463191
