https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1641960000000,2022-01-12 04:00:00,GALA/USD,0.34854,0.36447,0.34718,0.34956,2713895.531612,948669.3220302906
1641873600000,2022-01-11 04:00:00,GALA/USD,0.31102,0.34854,0.30235,0.34854,3555708.456218,1239306.6253302218
1641787200000,2022-01-10 04:00:00,GALA/USD,0.32618,0.33,0.29231,0.31102,6344921.305238,1973397.424355123
1641700800000,2022-01-09 04:00:00,GALA/USD,0.31723,0.34617,0.3135,0.32618,2795387.808412,911799.5953478263
1641614400000,2022-01-08 04:00:00,GALA/USD,0.34841,0.3539,0.30614,0.31723,2423856.351104,768919.950260722
1641528000000,2022-01-07 04:00:00,GALA/USD,0.35445,0.3628,0.339,0.34841,3304267.227905,1151239.744874381
1641441600000,2022-01-06 04:00:00,GALA/USD,0.35818,0.40089,0.3511,0.35445,6089041.075749,2158260.6092992327
1641355200000,2022-01-05 04:00:00,GALA/USD,0.43731,0.43731,0.34111,0.35818,4872014.989943,1745058.3290977837
1641268800000,2022-01-04 04:00:00,GALA/USD,0.43187,0.44389,0.42272,0.43731,1452484.145687,635185.8417503819
1641182400000,2022-01-03 04:00:00,GALA/USD,0.45031,0.45701,0.42165,0.43187,1270783.068275,548813.0836959243
1641096000000,2022-01-02 04:00:00,GALA/USD,0.45795,0.46358,0.44713,0.45031,797869.1875,359288.473823125
1641009600000,2022-01-01 04:00:00,GALA/USD,0.4592,0.4643,0.45265,0.45795,1190119.036614,545015.0128173814
1640923200000,2021-12-31 04:00:00,GALA/USD,0.46943,0.47727,0.429,0.4592,4011884.491394,1842257.358448125
1640836800000,2021-12-30 04:00:00,GALA/USD,0.46473,0.47854,0.45668,0.46943,2214158.271893,1039392.3175747311
1640750400000,2021-12-29 04:00:00,GALA/USD,0.48391,0.48507,0.44152,0.46473,4226526.345629,1964193.588604165
1640664000000,2021-12-28 04:00:00,GALA/USD,0.49402,0.50675,0.45959,0.48391,4744110.081343,2295722.309462691
1640577600000,2021-12-27 04:00:00,GALA/USD,0.54124,0.554,0.48933,0.49402,4712470.744901,2328054.797395992
1640491200000,2021-12-26 04:00:00,GALA/USD,0.48504,0.54545,0.48281,0.54124,3342395.949616,1809038.383770164
1640404800000,2021-12-25 04:00:00,GALA/USD,0.48046,0.5104,0.47948,0.48504,2641504.715099,1281235.4470116189
1640318400000,2021-12-24 04:00:00,GALA/USD,0.50802,0.51197,0.46693,0.48046,2080695.627555,999691.0212150753
1640232000000,2021-12-23 04:00:00,GALA/USD,0.43819,0.52823,0.43493,0.50802,4164670.518463,2115735.9167895736
1640145600000,2021-12-22 04:00:00,GALA/USD,0.44352,0.44619,0.42908,0.43819,463509.921651,203105.4125682517
1640059200000,2021-12-21 04:00:00,GALA/USD,0.0,0.45525,0.0,0.44352,2284166.898903,1013073.7030014587
