https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1642996800000,2022-01-24 04:00:00,FTM/USD,2.1467,2.3323,1.9,2.2609,5679269.405831,12840260.199643306
1642910400000,2022-01-23 04:00:00,FTM/USD,2.0046,2.3697,1.9939,2.1467,3460382.708263,7428403.559828183
1642824000000,2022-01-22 04:00:00,FTM/USD,2.263,2.2749,1.7713,2.0046,5259307.000286,10542806.812773315
1642737600000,2022-01-21 04:00:00,FTM/USD,2.5689,2.6286,2.1264,2.263,5932582.82732,13425434.93822516
1642651200000,2022-01-20 04:00:00,FTM/USD,2.831,3.0364,2.5475,2.5689,3569652.50488,9170080.319786232
1642564800000,2022-01-19 04:00:00,FTM/USD,2.923,2.9335,2.7435,2.831,1248073.957955,3533297.374970605
1642478400000,2022-01-18 04:00:00,FTM/USD,2.9226,3.045,2.7063,2.923,3096373.770363,9050700.53077105
1642392000000,2022-01-17 04:00:00,FTM/USD,3.1294,3.2459,2.8768,2.9226,3121114.978901,9121770.637336064
1642305600000,2022-01-16 04:00:00,FTM/USD,2.9774,3.38,2.9774,3.1294,2555249.661542,7996398.290829534
1642219200000,2022-01-15 04:00:00,FTM/USD,2.8783,3.05,2.8338,2.9774,1644304.432741,4895752.018043053
1642132800000,2022-01-14 04:00:00,FTM/USD,2.9552,3.0655,2.8122,2.8783,1956369.401201,5631018.047476838
1642046400000,2022-01-13 04:00:00,FTM/USD,2.864,3.1594,2.8555,2.9552,4131103.329923,12208236.560588451
1641960000000,2022-01-12 04:00:00,FTM/USD,2.6937,2.9904,2.6937,2.864,1470330.555356,4211026.710539584
1641873600000,2022-01-11 04:00:00,FTM/USD,2.3236,2.7007,2.2835,2.6937,4538063.063221,12224180.47339841
1641787200000,2022-01-10 04:00:00,FTM/USD,2.3861,2.4558,2.1088,2.3236,2606347.938587,6056110.070100754
1641700800000,2022-01-09 04:00:00,FTM/USD,2.359,2.5245,2.2343,2.3861,3053018.739944,7284808.015380378
1641614400000,2022-01-08 04:00:00,FTM/USD,2.594,2.6871,2.1691,2.359,4693018.731472,11070831.187542446
1641528000000,2022-01-07 04:00:00,FTM/USD,2.6645,2.8699,2.5636,2.594,4499463.59645,11671608.5691913
1641441600000,2022-01-06 04:00:00,FTM/USD,2.6544,3.0306,2.6097,2.6645,3918048.517937,10439640.276043136
1641355200000,2022-01-05 04:00:00,FTM/USD,2.9463,3.02,2.6,2.6544,4973644.468785,13202041.877942903
1641268800000,2022-01-04 04:00:00,FTM/USD,2.8875,3.0784,2.821,2.9463,4051346.758448,11936482.954415342
1641182400000,2022-01-03 04:00:00,FTM/USD,2.3973,2.92,2.3921,2.8875,4027512.421303,11629442.116512412
1641096000000,2022-01-02 04:00:00,FTM/USD,2.5841,2.5904,2.3646,2.3973,1424359.650176,3414617.3893669248
1641009600000,2022-01-01 04:00:00,FTM/USD,2.3152,2.5997,2.264,2.5841,2058415.386137,5319151.199316622
1640923200000,2021-12-31 04:00:00,FTM/USD,2.1334,2.3451,2.0905,2.3152,2179364.309963,5045664.250426337
1640836800000,2021-12-30 04:00:00,FTM/USD,2.0404,2.2283,2.0404,2.1334,1171331.296606,2498918.1881792406
1640750400000,2021-12-29 04:00:00,FTM/USD,2.3194,2.3684,2.0303,2.0404,2632235.49273,5370813.299366293
1640664000000,2021-12-28 04:00:00,FTM/USD,2.1766,2.3737,2.071,2.3194,3362261.830752,7798430.090246189
1640577600000,2021-12-27 04:00:00,FTM/USD,2.4303,2.4306,2.1049,2.1766,2369675.725961,5157836.1851267135
1640491200000,2021-12-26 04:00:00,FTM/USD,2.1306,2.45,2.1221,2.4303,2300523.084301,5590961.25177672
1640404800000,2021-12-25 04:00:00,FTM/USD,2.0907,2.2639,1.9723,2.1306,2511217.10972,5350399.173969432
1640318400000,2021-12-24 04:00:00,FTM/USD,1.9079,2.2431,1.8751,2.0907,3678640.652015,7690934.011167761
1640232000000,2021-12-23 04:00:00,FTM/USD,1.6712,1.9537,1.6659,1.9079,4283173.929839,8171867.540739828
1640145600000,2021-12-22 04:00:00,FTM/USD,1.57,1.6971,1.57,1.6712,2239619.68011,3742852.409399832
1640059200000,2021-12-21 04:00:00,FTM/USD,1.3952,1.5817,1.3952,1.57,1464291.23857,2298937.2445549
1639972800000,2021-12-20 04:00:00,FTM/USD,1.403,1.4219,1.3109,1.3952,1264766.405831,1764602.0894154112
1639886400000,2021-12-19 04:00:00,FTM/USD,1.4604,1.4741,1.395,1.403,1158981.980424,1626051.718534872
1639800000000,2021-12-18 04:00:00,FTM/USD,1.4023,1.54,1.3895,1.4604,1288912.292079,1882327.5113521717
1639713600000,2021-12-17 04:00:00,FTM/USD,1.4522,1.4875,1.3355,1.4023,1447590.165872,2029955.6896023056
1639627200000,2021-12-16 04:00:00,FTM/USD,1.5337,1.5337,1.42,1.4522,180300.617451,261832.5566623422
1639540800000,2021-12-15 04:00:00,FTM/USD,1.3157,1.5651,1.2592,1.5337,3184560.217601,4884160.005734654
1639454400000,2021-12-14 04:00:00,FTM/USD,1.2723,1.3407,1.2403,1.3157,1493875.623418,1965492.1577310627
1639368000000,2021-12-13 04:00:00,FTM/USD,1.4382,1.439,1.2526,1.2723,2735258.908122,3480069.9088036204
1639281600000,2021-12-12 04:00:00,FTM/USD,1.4796,1.5548,1.4257,1.4382,868451.530558,1249006.9912485154
1639195200000,2021-12-11 04:00:00,FTM/USD,1.4515,1.4995,1.4031,1.4796,851114.248707,1259308.6423868772
1639108800000,2021-12-10 04:00:00,FTM/USD,1.4274,1.492,1.3845,1.4515,1406148.112398,2041023.985145697
1639022400000,2021-12-09 04:00:00,FTM/USD,1.5604,1.5604,1.4063,1.4274,1407901.78203,2009639.003669622
1638936000000,2021-12-08 04:00:00,FTM/USD,1.5555,1.6562,1.5088,1.5604,1764135.793913,2752757.492821845
1638849600000,2021-12-07 04:00:00,FTM/USD,1.6109,1.7223,1.555,1.5555,2691474.62722603,4186588.78265009
1638763200000,2021-12-06 04:00:00,FTM/USD,1.5019,1.7009,1.3464,1.6109,3859739.14774015,6217653.793094607
1638676800000,2021-12-05 04:00:00,FTM/USD,1.6841,1.7208,1.4352,1.5019,2517229.75078519,3780627.362704277
1638590400000,2021-12-04 04:00:00,FTM/USD,1.8224,2.109,1.31,1.6841,6633374.06179629,11171265.257471131
1638504000000,2021-12-03 04:00:00,FTM/USD,2.0535,2.1616,1.8224,1.8224,2091731.68597013,3811971.824511965
1638417600000,2021-12-02 04:00:00,FTM/USD,2.0738,2.1258,2.0381,2.0535,609665.7981686,1251948.7165392202
1638331200000,2021-12-01 04:00:00,FTM/USD,2.1889,2.2786,2.0259,2.0738,1108016.98836106,2297805.6304631657
1638244800000,2021-11-30 04:00:00,FTM/USD,2.1303,2.2873,2.0756,2.1889,1702876.85070338,3727427.1385046286
1638158400000,2021-11-29 04:00:00,FTM/USD,2.0825,2.2228,2.0627,2.1303,1331213.31336413,2835883.721459606
1638072000000,2021-11-28 04:00:00,FTM/USD,1.9905,2.1278,1.8864,2.0825,1668411.39697118,3474466.7341924827
1637985600000,2021-11-27 04:00:00,FTM/USD,2.1575,2.2155,1.9644,1.9905,1111973.18361501,2213382.621985677
1637899200000,2021-11-26 04:00:00,FTM/USD,2.3827,2.4092,2.002,2.1575,3074015.97022791,6632189.455766717
1637812800000,2021-11-25 04:00:00,FTM/USD,2.6369,2.6369,2.3815,2.3827,2286678.44320985,5448468.72663611
1637726400000,2021-11-24 04:00:00,FTM/USD,2.3055,2.6707,2.2173,2.6369,3795721.57854377,10008938.230462067
1637640000000,2021-11-23 04:00:00,FTM/USD,2.0709,2.4548,1.9996,2.3055,3244420.69788668,7480011.91897774
1637553600000,2021-11-22 04:00:00,FTM/USD,1.9919,2.0793,1.9209,2.0709,1359503.88042593,2815396.5859740586
1637467200000,2021-11-21 04:00:00,FTM/USD,2.0785,2.168,1.961,1.9919,1712587.50845694,3411303.058095379
1637380800000,2021-11-20 04:00:00,FTM/USD,2.1994,2.2718,2.073,2.0785,1107991.07694704,2302959.4534344226
1637294400000,2021-11-19 04:00:00,FTM/USD,1.8396,2.2852,1.8362,2.1994,2861454.82351054,6293483.738829082
1637208000000,2021-11-18 04:00:00,FTM/USD,2.1578,2.1578,1.7615,1.8396,2458606.34420235,4522852.230794643
1637121600000,2021-11-17 04:00:00,FTM/USD,2.1078,2.3022,2.0789,2.1578,1657979.8083198,3577588.8303924645
1637035200000,2021-11-16 04:00:00,FTM/USD,2.2922,2.3697,2.0085,2.1078,2518480.07633201,5308452.304892611
1636948800000,2021-11-15 04:00:00,FTM/USD,2.5923,2.6122,2.25,2.2922,1698187.39464017,3892585.1459941976
1636862400000,2021-11-14 04:00:00,FTM/USD,2.5925,2.623,2.5139,2.5923,932455.06875812,2417203.2747416743
1636776000000,2021-11-13 04:00:00,FTM/USD,2.624,2.7187,2.5729,2.5925,660984.31178542,1713601.8283037012
1636689600000,2021-11-12 04:00:00,FTM/USD,2.5895,2.6777,2.5895,2.624,246495.85688718,646805.1284719603
1636603200000,2021-11-11 04:00:00,FTM/USD,2.6388,2.7306,2.5365,2.5895,1270596.17641201,3290208.7988189002
1636516800000,2021-11-10 04:00:00,FTM/USD,2.8207,2.9857,2.3104,2.6388,2797251.66591538,7381387.696017505
1636430400000,2021-11-09 04:00:00,FTM/USD,3.0199,3.1062,2.8021,2.8207,1658347.47318797,4677700.717621307
1636344000000,2021-11-08 04:00:00,FTM/USD,2.9601,3.1752,2.8522,3.0199,2495753.80074824,7536926.90287961
1636257600000,2021-11-07 04:00:00,FTM/USD,2.8804,2.9761,2.771,2.9601,1452180.49840859,4298599.493339268
