https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1643774400000,2022-02-02 04:00:00,AMP/USD,0.03002,0.03006,0.02856,0.0286,20638377.200686,590257.5879396197
1643688000000,2022-02-01 04:00:00,AMP/USD,0.03092,0.03094,0.02975,0.03002,47961619.055582,1439807.8040485717
1643601600000,2022-01-31 04:00:00,AMP/USD,0.02844,0.03142,0.02824,0.03092,62341778.697859,1927607.7973378003
1643515200000,2022-01-30 04:00:00,AMP/USD,0.03022,0.03098,0.0282,0.02844,58500494.660555,1663754.068146184
1643428800000,2022-01-29 04:00:00,AMP/USD,0.03012,0.03102,0.02977,0.03022,34405311.649662,1039728.5180527858
1643342400000,2022-01-28 04:00:00,AMP/USD,0.02928,0.03131,0.02871,0.03012,64411827.802819,1940084.2534209082
1643256000000,2022-01-27 04:00:00,AMP/USD,0.0287,0.03066,0.02848,0.02928,96556921.602634,2827186.6645251233
1643169600000,2022-01-26 04:00:00,AMP/USD,0.02931,0.03347,0.02857,0.0287,75356005.709019,2162717.3638488455
1643083200000,2022-01-25 04:00:00,AMP/USD,0.02731,0.02995,0.02668,0.02931,104017632.711706,3048756.8147801026
1642996800000,2022-01-24 04:00:00,AMP/USD,0.02852,0.02879,0.0255,0.02731,116643175.288789,3185525.1171368277
1642910400000,2022-01-23 04:00:00,AMP/USD,0.02852,0.02998,0.02822,0.02852,70029159.210169,1997231.62067402
1642824000000,2022-01-22 04:00:00,AMP/USD,0.02977,0.0303,0.02503,0.02852,123904371.782557,3533752.6832385254
1642737600000,2022-01-21 04:00:00,AMP/USD,0.03324,0.03429,0.02833,0.02977,114725352.146509,3415373.7334015733
1642651200000,2022-01-20 04:00:00,AMP/USD,0.03713,0.0392,0.03221,0.03324,87809874.68811,2918800.234632776
1642564800000,2022-01-19 04:00:00,AMP/USD,0.03821,0.03828,0.03618,0.03713,22691385.412565,842531.1403685386
1642478400000,2022-01-18 04:00:00,AMP/USD,0.04017,0.0403,0.03777,0.03821,63238265.954022,2416334.1421031808
1642392000000,2022-01-17 04:00:00,AMP/USD,0.0406,0.04128,0.03986,0.04017,40451435.243187,1624934.1537188217
1642305600000,2022-01-16 04:00:00,AMP/USD,0.04115,0.04156,0.04059,0.0406,22675010.415179,920605.4228562673
1642219200000,2022-01-15 04:00:00,AMP/USD,0.04131,0.04191,0.04101,0.04115,16126643.14246,663611.365312229
1642132800000,2022-01-14 04:00:00,AMP/USD,0.04144,0.04161,0.04017,0.04131,33332544.986627,1376967.4333975613
1642046400000,2022-01-13 04:00:00,AMP/USD,0.04231,0.04296,0.04025,0.04144,49041821.263219,2032293.0731477952
1641960000000,2022-01-12 04:00:00,AMP/USD,0.04146,0.0432,0.04146,0.04231,25956124.62147,1098203.6327343958
1641873600000,2022-01-11 04:00:00,AMP/USD,0.04182,0.04235,0.04061,0.04146,69373390.988173,2876220.790369652
1641787200000,2022-01-10 04:00:00,AMP/USD,0.04313,0.04358,0.04055,0.04182,80225597.340834,3355034.480793678
1641700800000,2022-01-09 04:00:00,AMP/USD,0.0431,0.04453,0.04222,0.04313,39570270.456271,1706665.7647789684
1641614400000,2022-01-08 04:00:00,AMP/USD,0.04367,0.04499,0.04125,0.0431,54244853.054865,2337953.1666646814
1641528000000,2022-01-07 04:00:00,AMP/USD,0.04403,0.04471,0.04264,0.04367,65765972.30381,2872000.010507383
1641441600000,2022-01-06 04:00:00,AMP/USD,0.04536,0.04724,0.04363,0.04403,50178470.139101,2209358.040224617
1641355200000,2022-01-05 04:00:00,AMP/USD,0.04993,0.04993,0.04488,0.04536,46211770.027391,2096165.8884424558
1641268800000,2022-01-04 04:00:00,AMP/USD,0.05224,0.05378,0.04911,0.04993,58594649.8843,2925630.868723099
1641182400000,2022-01-03 04:00:00,AMP/USD,0.04874,0.0562,0.0481,0.05224,106117180.190029,5543561.493127115
1641096000000,2022-01-02 04:00:00,AMP/USD,0.04921,0.04977,0.04874,0.04874,14288624.360382,696427.5513250186
1641009600000,2022-01-01 04:00:00,AMP/USD,0.04844,0.0499,0.04785,0.04921,21483027.345438,1057179.7756690038
1640923200000,2021-12-31 04:00:00,AMP/USD,0.04958,0.05002,0.04772,0.04844,36854523.479178,1785233.1173313821
1640836800000,2021-12-30 04:00:00,AMP/USD,0.04899,0.05006,0.04866,0.04958,28012682.294402,1388868.7881564512
1640750400000,2021-12-29 04:00:00,AMP/USD,0.05139,0.05164,0.04883,0.04899,34244702.972436,1677647.9986196398
1640664000000,2021-12-28 04:00:00,AMP/USD,0.05212,0.05289,0.0495,0.05139,44976291.459572,2311331.618107405
1640577600000,2021-12-27 04:00:00,AMP/USD,0.05069,0.05796,0.05069,0.05212,109315350.009515,5697516.042495922
1640491200000,2021-12-26 04:00:00,AMP/USD,0.04909,0.05141,0.04893,0.05069,24998218.2757,1267159.684395233
1640404800000,2021-12-25 04:00:00,AMP/USD,0.04976,0.05035,0.04896,0.04909,26758471.902391,1313573.3856883743
1640318400000,2021-12-24 04:00:00,AMP/USD,0.05061,0.05201,0.04933,0.04976,34720640.367167,1727699.06467023
1640232000000,2021-12-23 04:00:00,AMP/USD,0.04946,0.0511,0.04833,0.05061,43740570.717834,2213710.284029579
1640145600000,2021-12-22 04:00:00,AMP/USD,0.04844,0.05149,0.04844,0.04946,32011817.092731,1583304.473406475
1640059200000,2021-12-21 04:00:00,AMP/USD,0.04684,0.04908,0.04672,0.04844,41177548.276636,1994640.4385202476
1639972800000,2021-12-20 04:00:00,AMP/USD,0.0477,0.04814,0.04601,0.04684,41366913.383635,1937626.2228894634
1639886400000,2021-12-19 04:00:00,AMP/USD,0.04895,0.04924,0.04764,0.0477,26506273.962763,1264349.268023795
1639800000000,2021-12-18 04:00:00,AMP/USD,0.04819,0.04977,0.04776,0.04895,26355254.05525,1290089.6860044876
1639713600000,2021-12-17 04:00:00,AMP/USD,0.04854,0.04931,0.04716,0.04819,58069744.654253,2798380.994888452
1639627200000,2021-12-16 04:00:00,AMP/USD,0.05005,0.05005,0.04809,0.04854,10319310.549495,500899.3340724873
1639540800000,2021-12-15 04:00:00,AMP/USD,0.04918,0.05158,0.04726,0.05005,43493086.783504,2176828.9935143753
1639454400000,2021-12-14 04:00:00,AMP/USD,0.04904,0.05009,0.0476,0.04918,41413589.539536,2036720.3335543806
1639368000000,2021-12-13 04:00:00,AMP/USD,0.05113,0.0527,0.04802,0.04904,51793261.699502,2539941.553743578
1639281600000,2021-12-12 04:00:00,AMP/USD,0.05161,0.05256,0.05108,0.05113,36933607.718978,1888415.3626713452
1639195200000,2021-12-11 04:00:00,AMP/USD,0.05154,0.0527,0.05026,0.05161,46320635.732889,2390608.010174401
1639108800000,2021-12-10 04:00:00,AMP/USD,0.05302,0.05402,0.05005,0.05154,36825109.489887,1897966.143108776
1639022400000,2021-12-09 04:00:00,AMP/USD,0.05546,0.05546,0.05253,0.05302,27510844.853742,1458624.9941454008
1638936000000,2021-12-08 04:00:00,AMP/USD,0.05133,0.06289,0.05064,0.05546,173784198.007109,9638071.621474264
1638849600000,2021-12-07 04:00:00,AMP/USD,0.05215,0.05478,0.0504,0.05133,65981117.78191067,3386810.7757454747
1638763200000,2021-12-06 04:00:00,AMP/USD,0.05041,0.05477,0.04813,0.05215,126335485.2356804,6588395.555040733
1638676800000,2021-12-05 04:00:00,AMP/USD,0.05239,0.05593,0.04954,0.05041,86067515.44637594,4338663.453651811
1638590400000,2021-12-04 04:00:00,AMP/USD,0.05311,0.05388,0.04931,0.05239,174795361.03006032,9157528.96436486
