https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USD
1615608000000,2021-03-13 04:00:00,PAXG/USD,1750.23,1760.0,1732.68,1737.34,32.4552478071,56385.800225187115
1615521600000,2021-03-12 04:00:00,PAXG/USD,1730.96,1756.24,1707.91,1750.23,35.6250179757,62351.97521160941
1615435200000,2021-03-11 04:00:00,PAXG/USD,1742.14,1751.18,1729.94,1730.96,18.4563811871,31947.257579622616
1615348800000,2021-03-10 04:00:00,PAXG/USD,1730.88,1744.73,1649.0,1742.14,94.20713169,164122.0124024166
1615262400000,2021-03-09 04:00:00,PAXG/USD,1717.11,1749.49,1709.28,1730.88,89.7953260373,155424.93393144183
1615176000000,2021-03-08 04:00:00,PAXG/USD,1719.69,1723.24,1693.32,1717.11,68.9976784578,118476.60365667296
1615089600000,2021-03-07 04:00:00,PAXG/USD,1706.11,1724.68,1706.0,1719.69,29.9752815833,51548.19198598518
1615003200000,2021-03-06 04:00:00,PAXG/USD,1714.37,1721.42,1701.03,1706.11,27.6769740551,47219.96220514666
1614916800000,2021-03-05 04:00:00,PAXG/USD,1706.76,1729.9,1697.13,1714.37,51.6107195723,88479.86931316394
1614830400000,2021-03-04 04:00:00,PAXG/USD,1724.01,1732.03,1701.0,1706.76,26.8850367619,45886.305343740445
1614744000000,2021-03-03 04:00:00,PAXG/USD,1745.71,1753.3,1717.44,1724.01,75.4847757246,130136.50819696764
1614657600000,2021-03-02 04:00:00,PAXG/USD,1724.99,1759.22,1724.99,1745.71,30.4597032619,53173.80858133145
1614571200000,2021-03-01 04:00:00,PAXG/USD,1760.45,1768.32,1724.0,1724.99,49.0056907455,84534.32647908005
1614484800000,2021-02-28 04:00:00,PAXG/USD,1740.5,1763.39,1733.44,1760.45,36.8919415673,64946.41853215329
1614398400000,2021-02-27 04:00:00,PAXG/USD,1751.98,1754.28,1735.1,1740.5,19.6204449348,34149.384409019396
1614312000000,2021-02-26 04:00:00,PAXG/USD,1781.7,1829.99,1725.0,1751.98,63.5815624733,111393.62582197213
1614225600000,2021-02-25 04:00:00,PAXG/USD,1808.84,1808.84,1780.0,1781.7,29.9421439013,53347.91778894621
1614139200000,2021-02-24 04:00:00,PAXG/USD,1822.15,1829.44,1788.76,1808.84,73.0223049115,132085.66601611767
1614052800000,2021-02-23 04:00:00,PAXG/USD,1823.0,1828.86,1800.88,1822.15,98.3664106499,179238.3551657153
1613966400000,2021-02-22 04:00:00,PAXG/USD,1792.67,1828.86,1786.16,1823.0,119.1471358292,217205.2286166316
1613880000000,2021-02-21 04:00:00,PAXG/USD,1804.8,1828.99,1772.87,1792.67,46.7982766711,83893.86663998084
1613793600000,2021-02-20 04:00:00,PAXG/USD,1811.44,1829.0,1700.0,1804.8,70.1649597816,126633.71941383168
1613707200000,2021-02-19 04:00:00,PAXG/USD,1780.86,1822.71,1776.0,1811.44,49.6796716279,89991.74437364317
1613620800000,2021-02-18 04:00:00,PAXG/USD,1793.33,1815.57,1776.01,1780.86,96.7419609596,172283.88859451324
1613534400000,2021-02-17 04:00:00,PAXG/USD,1810.26,1829.84,1788.0,1793.33,141.3527662429,253492.15628637985
1613448000000,2021-02-16 04:00:00,PAXG/USD,1833.46,1875.0,1801.0,1810.26,156.6706712167,283614.6492767433
1613361600000,2021-02-15 04:00:00,PAXG/USD,1829.3,1852.13,1825.0,1833.46,87.1734239222,159828.9858243968
1613275200000,2021-02-14 04:00:00,PAXG/USD,1845.95,1854.26,1829.3,1829.3,38.6361130612,70677.04162285315
1613188800000,2021-02-13 04:00:00,PAXG/USD,1850.02,1855.91,1839.04,1845.95,24.1028180591,44492.59699619564
1613102400000,2021-02-12 04:00:00,PAXG/USD,1825.25,1855.24,1819.76,1850.02,53.2446085573,98503.59072317614
1613016000000,2021-02-11 04:00:00,PAXG/USD,1850.4,1905.0,1815.16,1825.25,93.3541761269,170394.70997562422
1612929600000,2021-02-10 04:00:00,PAXG/USD,1856.91,1871.87,1837.02,1850.4,78.7156711231,145655.47784618425
1612843200000,2021-02-09 04:00:00,PAXG/USD,1855.09,1868.21,1840.0,1856.91,56.8337581053,105535.17376331263
1612756800000,2021-02-08 04:00:00,PAXG/USD,1820.46,1899.99,1818.43,1855.09,96.3682365616,178771.75196305854
1612670400000,2021-02-07 04:00:00,PAXG/USD,1849.3,1899.98,1815.0,1820.46,76.6373656785,139515.2587230821
1612584000000,2021-02-06 04:00:00,PAXG/USD,1834.82,1849.3,1831.31,1849.3,67.11111227,124108.57992091101
1612497600000,2021-02-05 04:00:00,PAXG/USD,1808.82,1843.5,1807.38,1834.82,74.1769302261,136101.3151174528
1612411200000,2021-02-04 04:00:00,PAXG/USD,1837.01,1840.97,1794.64,1808.82,24.7494182588,44767.24273488261
1612324800000,2021-02-03 04:00:00,PAXG/USD,1855.16,1870.97,1816.25,1837.01,84.9599905803,156072.3522959169
1612238400000,2021-02-02 04:00:00,PAXG/USD,1870.59,1875.26,1837.3,1855.16,74.0059945116,137292.96077813985
1612152000000,2021-02-01 04:00:00,PAXG/USD,1875.03,1892.42,1868.75,1870.59,58.5503746689,109523.74535189764
1612065600000,2021-01-31 04:00:00,PAXG/USD,1859.59,1894.46,1857.65,1875.03,73.0609692523,136991.50917714008
