https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USD
1638417600000,2021-12-02 04:00:00,AXS/USD,133.21,137.31,132.74,136.29,1469.69341611,200304.5156816319
1638331200000,2021-12-01 04:00:00,AXS/USD,139.9,140.69,131.62,133.21,2640.29429627,351713.6032061267
1638244800000,2021-11-30 04:00:00,AXS/USD,134.36,140.77,131.84,139.9,3704.59053378,518272.215675822
1638158400000,2021-11-29 04:00:00,AXS/USD,136.08,136.88,133.0,134.36,2100.19392026,282182.05512613367
1638072000000,2021-11-28 04:00:00,AXS/USD,125.19,137.7,124.25,136.08,2652.01382964,360886.04193741124
1637985600000,2021-11-27 04:00:00,AXS/USD,128.29,129.89,123.37,125.19,2291.98453253,286933.5436274307
1637899200000,2021-11-26 04:00:00,AXS/USD,135.01,136.07,122.94,128.29,4920.910616,631303.62292664
1637812800000,2021-11-25 04:00:00,AXS/USD,138.86,143.6,134.8,135.01,5602.38981013,756378.6482656513
1637726400000,2021-11-24 04:00:00,AXS/USD,133.75,145.16,133.13,138.86,6682.71871596,927962.3208982056
1637640000000,2021-11-23 04:00:00,AXS/USD,131.03,138.97,129.34,133.75,3678.97504497,492062.9122647375
1637553600000,2021-11-22 04:00:00,AXS/USD,127.05,132.72,126.07,131.03,8633.38910627,1131232.9745945581
1637467200000,2021-11-21 04:00:00,AXS/USD,129.32,141.83,126.65,127.05,5036.86496924,639933.6943419421
1637380800000,2021-11-20 04:00:00,AXS/USD,129.95,132.81,126.26,129.32,2135.06306223,276106.3552075836
1637294400000,2021-11-19 04:00:00,AXS/USD,123.03,136.51,123.03,129.95,7035.39523875,914249.6112755624
1637208000000,2021-11-18 04:00:00,AXS/USD,133.39,133.39,120.52,123.03,4435.89072421,545747.6357995564
1637121600000,2021-11-17 04:00:00,AXS/USD,132.56,139.41,131.5,133.39,3683.36222829,491323.68763160304
1637035200000,2021-11-16 04:00:00,AXS/USD,135.0,137.3,122.08,132.56,4882.17538675,647181.16926758
1636948800000,2021-11-15 04:00:00,AXS/USD,143.61,146.32,133.25,135.0,6138.04357924,828635.8831974
1636862400000,2021-11-14 04:00:00,AXS/USD,143.37,145.09,140.19,143.61,2025.40978135,290869.09869967354
1636776000000,2021-11-13 04:00:00,AXS/USD,143.76,147.9,142.15,143.37,2467.26666918,353732.0223603366
1636689600000,2021-11-12 04:00:00,AXS/USD,147.46,147.46,141.4,143.76,2364.68325686,339946.8650061936
1636603200000,2021-11-11 04:00:00,AXS/USD,143.33,149.02,142.16,147.46,2569.75786899,378936.49536126544
1636516800000,2021-11-10 04:00:00,AXS/USD,151.02,153.57,130.68,143.33,5914.31182781,847698.3142800074
1636430400000,2021-11-09 04:00:00,AXS/USD,152.19,154.39,147.5,151.02,6066.02605118,916091.2542492036
1636344000000,2021-11-08 04:00:00,AXS/USD,154.19,155.5,150.8,152.19,7661.23657426,1165963.5942366295
1636257600000,2021-11-07 04:00:00,AXS/USD,155.88,164.21,152.93,154.19,4606.05926336,710208.2778174784
1636171200000,2021-11-06 04:00:00,AXS/USD,149.85,165.65,148.81,155.88,7081.25964222,1103826.7530292536
1636084800000,2021-11-05 04:00:00,AXS/USD,150.36,154.72,146.45,149.85,5898.8062989,883936.123890165
1635998400000,2021-11-04 04:00:00,AXS/USD,145.74,151.42,142.0,150.36,4041.16609806,607629.7345043017
1635912000000,2021-11-03 04:00:00,AXS/USD,138.93,148.29,134.86,145.74,6190.51129333,902205.1158899142
1635825600000,2021-11-02 04:00:00,AXS/USD,141.04,143.94,137.74,138.93,5135.78355067,713514.4086945832
1635739200000,2021-11-01 04:00:00,AXS/USD,132.45,142.68,131.5,141.04,4093.03161543,577281.1790402471
1635652800000,2021-10-31 04:00:00,AXS/USD,142.54,148.5,132.45,132.45,6207.28788886,822155.280879507
1635566400000,2021-10-30 04:00:00,AXS/USD,142.3,150.08,141.35,142.54,2921.44444385,416422.69102637895
1635480000000,2021-10-29 04:00:00,AXS/USD,143.99,164.63,134.4,142.3,21232.39012616,3021369.1149525684
1635393600000,2021-10-28 04:00:00,AXS/USD,123.98,145.31,122.82,143.99,14463.72338588,2082631.5303328612
1635307200000,2021-10-27 04:00:00,AXS/USD,130.49,130.49,121.43,123.98,268.980893,33348.251114139995
1635220800000,2021-10-26 04:00:00,AXS/USD,134.81,138.13,126.74,130.49,8480.49011683,1106619.1553451468
1635134400000,2021-10-25 04:00:00,AXS/USD,124.49,141.24,124.49,134.81,6901.16682992,930346.3003415152
1635048000000,2021-10-24 04:00:00,AXS/USD,126.05,127.57,120.17,124.49,1853.32781559,230720.7797627991
1634961600000,2021-10-23 04:00:00,AXS/USD,127.0,129.27,123.54,126.05,1713.34232784,215966.800424232
1634875200000,2021-10-22 04:00:00,AXS/USD,121.81,133.85,120.78,127.0,4234.43930068,537773.7911863601
1634788800000,2021-10-21 04:00:00,AXS/USD,127.09,134.0,115.77,121.81,6290.38659169,766231.990733759
1634702400000,2021-10-20 04:00:00,AXS/USD,120.8,130.21,120.8,127.09,2131.07232302,270837.9815326118
1634616000000,2021-10-19 04:00:00,AXS/USD,122.58,123.41,120.49,120.8,2589.19277268,312774.486939744
1634529600000,2021-10-18 04:00:00,AXS/USD,123.76,123.76,119.31,122.58,4131.77850924,506473.4096626392
