https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USD
1636689600000,2021-11-12 04:00:00,SNX/USD,10.0269,10.0269,9.4332,9.4615,10255.34957135,97030.98996932802
1636603200000,2021-11-11 04:00:00,SNX/USD,9.746,10.1962,9.6924,10.0269,28986.98135784,290649.5633769259
1636516800000,2021-11-10 04:00:00,SNX/USD,10.4598,10.8354,8.827,9.746,82543.85667697,804472.4271737497
1636430400000,2021-11-09 04:00:00,SNX/USD,10.4554,10.965,10.4179,10.4598,91845.49741,960685.533809118
1636344000000,2021-11-08 04:00:00,SNX/USD,10.3572,10.5554,10.26,10.4554,62453.86638089,652980.1545587573
1636257600000,2021-11-07 04:00:00,SNX/USD,10.2521,10.711,10.1119,10.3572,42496.9832758,440149.7551841158
1636171200000,2021-11-06 04:00:00,SNX/USD,10.3151,10.3369,9.7165,10.2521,17473.15970034,179136.5805638557
1636084800000,2021-11-05 04:00:00,SNX/USD,10.6418,10.6952,10.1891,10.3151,50835.7128585,524375.4617067133
1635998400000,2021-11-04 04:00:00,SNX/USD,11.2114,11.2114,10.3725,10.6418,15989.8256681,170160.5267947866
1635912000000,2021-11-03 04:00:00,SNX/USD,10.8202,11.7155,10.6741,11.2114,157110.03075879,1761423.3988490982
1635825600000,2021-11-02 04:00:00,SNX/USD,10.3432,10.867,10.2388,10.8202,75484.64828757,816758.9914011649
