https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1643428800000,2022-01-29 04:00:00,GRT/USD,0.4144,0.4241,0.405,0.4113,234121.305346,96294.0928888098
1643342400000,2022-01-28 04:00:00,GRT/USD,0.4127,0.419,0.3958,0.4144,437569.54289,181328.81857361598
1643256000000,2022-01-27 04:00:00,GRT/USD,0.3865,0.4136,0.3858,0.4127,394905.064266,162977.3200225782
1643169600000,2022-01-26 04:00:00,GRT/USD,0.4175,0.462,0.3847,0.3865,799863.001675,309147.0501473875
1643083200000,2022-01-25 04:00:00,GRT/USD,0.3969,0.42,0.3872,0.4175,324376.006775,135426.9828285625
1642996800000,2022-01-24 04:00:00,GRT/USD,0.3939,0.3998,0.3456,0.3969,1223879.73706,485757.867639114
1642910400000,2022-01-23 04:00:00,GRT/USD,0.4186,0.4316,0.391,0.3939,574747.017555,226392.8502149145
1642824000000,2022-01-22 04:00:00,GRT/USD,0.436,0.4367,0.3666,0.4186,1150938.393723,481782.81161244784
1642737600000,2022-01-21 04:00:00,GRT/USD,0.4706,0.4909,0.4239,0.436,1066790.995378,465120.873984808
1642651200000,2022-01-20 04:00:00,GRT/USD,0.5422,0.5607,0.4651,0.4706,591124.220485,278183.05816024105
1642564800000,2022-01-19 04:00:00,GRT/USD,0.5186,0.5422,0.5186,0.5422,240779.134341,130550.4466396902
1642478400000,2022-01-18 04:00:00,GRT/USD,0.5509,0.5556,0.5161,0.5186,371839.096556,192835.7554739416
1642392000000,2022-01-17 04:00:00,GRT/USD,0.5658,0.5696,0.5392,0.5509,189257.021951,104261.69339280589
1642305600000,2022-01-16 04:00:00,GRT/USD,0.5853,0.5939,0.5658,0.5658,147147.422229,83256.01149716819
1642219200000,2022-01-15 04:00:00,GRT/USD,0.5752,0.6,0.572,0.5853,192234.367935,112514.7755523555
1642132800000,2022-01-14 04:00:00,GRT/USD,0.5747,0.5859,0.5562,0.5752,189197.45696,108826.37724339201
1642046400000,2022-01-13 04:00:00,GRT/USD,0.5955,0.625,0.566,0.5747,544250.329516,312780.6643728452
1641960000000,2022-01-12 04:00:00,GRT/USD,0.5735,0.6013,0.5735,0.5955,127715.924647,76054.83312728851
1641873600000,2022-01-11 04:00:00,GRT/USD,0.5604,0.5748,0.5399,0.5735,462534.843954,265263.733007619
1641787200000,2022-01-10 04:00:00,GRT/USD,0.5843,0.5909,0.523,0.5604,356251.401186,199643.2852246344
1641700800000,2022-01-09 04:00:00,GRT/USD,0.5837,0.5961,0.5669,0.5843,181410.254431,105998.01166403331
1641614400000,2022-01-08 04:00:00,GRT/USD,0.6055,0.6195,0.5466,0.5837,431295.28727,251747.059179499
1641528000000,2022-01-07 04:00:00,GRT/USD,0.6006,0.6321,0.5836,0.6055,525420.293757,318141.9878698635
1641441600000,2022-01-06 04:00:00,GRT/USD,0.6176,0.6445,0.595,0.6006,458525.213414,275390.2431764484
1641355200000,2022-01-05 04:00:00,GRT/USD,0.7092,0.7223,0.6,0.6176,607239.61553,375031.186551328
1641268800000,2022-01-04 04:00:00,GRT/USD,0.6497,0.7135,0.6437,0.7092,935742.09011,663628.290306012
1641182400000,2022-01-03 04:00:00,GRT/USD,0.6704,0.6946,0.6404,0.6497,326399.329211,212061.6441883867
1641096000000,2022-01-02 04:00:00,GRT/USD,0.6597,0.6925,0.649,0.6704,233001.58978,156204.265788512
1641009600000,2022-01-01 04:00:00,GRT/USD,0.6453,0.667,0.6307,0.6597,348360.623415,229813.50326687546
1640923200000,2021-12-31 04:00:00,GRT/USD,0.6541,0.6793,0.6236,0.6453,727945.854934,469743.46018891013
1640836800000,2021-12-30 04:00:00,GRT/USD,0.6301,0.6611,0.6265,0.6541,516253.656514,337681.5167258074
1640750400000,2021-12-29 04:00:00,GRT/USD,0.6777,0.6918,0.6139,0.6301,437886.260355,275912.1326496855
1640664000000,2021-12-28 04:00:00,GRT/USD,0.7018,0.7084,0.6591,0.6777,493351.528195,334344.3306577515
1640577600000,2021-12-27 04:00:00,GRT/USD,0.738,0.7766,0.6941,0.7018,367365.053243,257816.79436593739
1640491200000,2021-12-26 04:00:00,GRT/USD,0.6919,0.7442,0.688,0.738,269793.797265,199107.82238157
1640404800000,2021-12-25 04:00:00,GRT/USD,0.6989,0.7289,0.6867,0.6919,182465.228773,126247.6917880387
1640318400000,2021-12-24 04:00:00,GRT/USD,0.7428,0.7493,0.6844,0.6989,206062.313485,144016.9508946665
1640232000000,2021-12-23 04:00:00,GRT/USD,0.7033,0.75,0.679,0.7428,377607.504137,280486.8540729636
1640145600000,2021-12-22 04:00:00,GRT/USD,0.7288,0.7288,0.6852,0.7033,128215.264295,90173.7953786735
1640059200000,2021-12-21 04:00:00,GRT/USD,0.6301,0.7307,0.6298,0.7288,548339.29364,399629.677204832
1639972800000,2021-12-20 04:00:00,GRT/USD,0.6673,0.6673,0.591,0.6301,316546.123531,199455.7124368831
