https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1635307200000,2021-10-27 04:00:00,1INCH/USD,3.9548,5.335,3.9548,5.0035,44985.0543948,225082.7196643818
1635220800000,2021-10-26 04:00:00,1INCH/USD,4.1263,4.1871,3.8755,3.9548,73224.48046191,289588.1753307617
1635134400000,2021-10-25 04:00:00,1INCH/USD,3.9511,4.2,3.9237,4.1263,103185.28014271,425773.42145286425
1635048000000,2021-10-24 04:00:00,1INCH/USD,4.0273,4.0366,3.6895,3.9511,50662.30295939,200171.82522284583
1634961600000,2021-10-23 04:00:00,1INCH/USD,4.0265,4.0665,3.8,4.0273,62876.27553165,253221.62444861405
1634875200000,2021-10-22 04:00:00,1INCH/USD,4.389,4.3922,3.9,4.0265,71792.61648836,289072.9702903816
1634788800000,2021-10-21 04:00:00,1INCH/USD,4.3855,4.4968,4.0522,4.389,109420.26788967,480245.55576776166
1634702400000,2021-10-20 04:00:00,1INCH/USD,3.6585,4.5529,3.6585,4.3855,208488.49048071,914326.2750031537
1634616000000,2021-10-19 04:00:00,1INCH/USD,3.4895,3.7847,3.4734,3.6585,103288.1962259,377879.86589245516
1634529600000,2021-10-18 04:00:00,1INCH/USD,3.6105,3.6499,3.3023,3.4895,60844.25341425,212316.0222890254
1634443200000,2021-10-17 04:00:00,1INCH/USD,3.212,3.6184,3.2076,3.6105,109026.49695237,393640.16724653187
1634356800000,2021-10-16 04:00:00,1INCH/USD,3.2702,3.3327,3.1592,3.212,31678.49922966,101751.33952566792
1634270400000,2021-10-15 04:00:00,1INCH/USD,3.2812,3.3196,3.0402,3.2702,86276.12606294,282140.1874510264
1634184000000,2021-10-14 04:00:00,1INCH/USD,3.0126,3.3821,3.0126,3.2812,18271.36229766,59951.993971082
1634097600000,2021-10-13 04:00:00,1INCH/USD,2.9274,3.0281,2.8204,3.0126,49658.83875016,149602.21761873201
1634011200000,2021-10-12 04:00:00,1INCH/USD,2.7676,2.9429,2.6973,2.9274,28999.67677631,84893.6537949699
1633924800000,2021-10-11 04:00:00,1INCH/USD,3.0335,3.0335,2.7644,2.7676,62622.2466267,173313.3297640549
1633838400000,2021-10-10 04:00:00,1INCH/USD,3.1327,3.1774,2.9212,3.0335,12214.54263171,37052.81507329228
