https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1644379200000,2022-02-09 04:00:00,ENJ/USD,2.0489,2.1575,2.0489,2.0908,36863.087672,77073.34370461761
1644292800000,2022-02-08 04:00:00,ENJ/USD,2.132,2.1657,1.9189,2.0489,190139.053667,389575.90705831634
1644206400000,2022-02-07 04:00:00,ENJ/USD,2.1271,2.1672,2.0267,2.132,120048.255121,255942.879917972
1644120000000,2022-02-06 04:00:00,ENJ/USD,1.9968,2.13,1.9071,2.1271,130118.219522,276774.4647452462
1644033600000,2022-02-05 04:00:00,ENJ/USD,1.9058,2.0559,1.8599,1.9968,182147.862576,363712.8519917568
1643947200000,2022-02-04 04:00:00,ENJ/USD,1.6798,1.913,1.6626,1.9058,115570.941126,220255.0995979308
1643860800000,2022-02-03 04:00:00,ENJ/USD,1.6694,1.7079,1.6205,1.6798,46998.019945,78947.273903611
1643774400000,2022-02-02 04:00:00,ENJ/USD,1.8474,1.8474,1.65,1.6694,87523.748913,146112.1464353622
1643688000000,2022-02-01 04:00:00,ENJ/USD,1.8688,1.8823,1.8104,1.8474,137906.476914,254768.4254509236
1643601600000,2022-01-31 04:00:00,ENJ/USD,1.7589,1.9191,1.717,1.8688,135860.119594,253895.39149726718
1643515200000,2022-01-30 04:00:00,ENJ/USD,1.8542,1.8637,1.6872,1.7589,199514.319647,350925.73682710825
1643428800000,2022-01-29 04:00:00,ENJ/USD,1.6746,1.8787,1.6616,1.8542,207742.973398,385197.0212745716
1643342400000,2022-01-28 04:00:00,ENJ/USD,1.6736,1.6858,1.5648,1.6746,96577.292276,161728.3336453896
1643256000000,2022-01-27 04:00:00,ENJ/USD,1.4728,1.6769,1.4621,1.6736,107669.547455,180195.754620688
1643169600000,2022-01-26 04:00:00,ENJ/USD,1.5875,1.7426,1.4586,1.4728,169469.67319,249594.93467423203
1643083200000,2022-01-25 04:00:00,ENJ/USD,1.4773,1.5916,1.4292,1.5875,123886.916371,196670.4797389625
1642996800000,2022-01-24 04:00:00,ENJ/USD,1.5287,1.5521,1.3246,1.4773,212968.848329,314618.8796364317
1642910400000,2022-01-23 04:00:00,ENJ/USD,1.535,1.6878,1.5156,1.5287,152449.208952,233049.10572492238
