https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1639281600000,2021-12-12 04:00:00,FIL/USD,39.7041,40.3673,38.2787,38.7011,36472.227201,1411515.3121286212
1639195200000,2021-12-11 04:00:00,FIL/USD,39.2177,40.5601,38.8,39.7041,40066.988282,1590823.709447356
1639108800000,2021-12-10 04:00:00,FIL/USD,38.1997,41.195,37.5581,39.2177,74017.82914,2902809.017863778
1639022400000,2021-12-09 04:00:00,FIL/USD,40.1849,40.1849,37.0355,38.1997,37916.695142,1448406.3794158574
1638936000000,2021-12-08 04:00:00,FIL/USD,41.2958,42.2287,39.4384,40.1849,140178.452918,5633057.1126645375
1638849600000,2021-12-07 04:00:00,FIL/USD,39.0355,43.5858,37.5668,41.2958,133200.05366875,5500602.776293967
1638763200000,2021-12-06 04:00:00,FIL/USD,38.7243,39.4131,35.6188,39.0355,152699.99342255,5960720.5932459505
1638676800000,2021-12-05 04:00:00,FIL/USD,40.964,41.2747,37.1376,38.7243,91942.29970998,3560401.1966591785
1638590400000,2021-12-04 04:00:00,FIL/USD,44.9454,46.3739,33.33,40.964,282027.6614962,11552981.125530338
1638504000000,2021-12-03 04:00:00,FIL/USD,53.0379,53.3143,44.9454,44.9454,73366.2021886,3297473.3038475025
1638417600000,2021-12-02 04:00:00,FIL/USD,52.9247,54.784,52.6855,53.0379,28451.4764693,1509006.5638310865
1638331200000,2021-12-01 04:00:00,FIL/USD,54.7586,55.8471,52.6568,52.9247,33352.68041411,1765180.6051126476
1638244800000,2021-11-30 04:00:00,FIL/USD,54.0553,55.7433,53.1689,54.7586,40556.76906277,2220831.8944005975
1638158400000,2021-11-29 04:00:00,FIL/USD,55.99,56.255,53.6249,54.0553,48977.15516686,2647474.8156911675
1638072000000,2021-11-28 04:00:00,FIL/USD,55.423,57.1741,52.6257,55.99,107219.53380768,6003221.697892003
1637985600000,2021-11-27 04:00:00,FIL/USD,57.0492,59.411,54.0106,55.423,111322.03589762,6169801.195553793
1637899200000,2021-11-26 04:00:00,FIL/USD,57.483,58.711,51.2572,57.0492,308453.2640013,17597011.948662963
1637812800000,2021-11-25 04:00:00,FIL/USD,51.0317,59.487,49.8773,57.483,181389.59358397,10426818.007987348
1637726400000,2021-11-24 04:00:00,FIL/USD,50.7786,51.6168,48.6125,51.0317,35093.89030821,1790900.8820414804
1637640000000,2021-11-23 04:00:00,FIL/USD,52.0313,52.1623,50.3975,50.7786,57431.90457845,2916311.709827281
1637553600000,2021-11-22 04:00:00,FIL/USD,52.0885,53.1379,51.2322,52.0313,35990.78086352,1872647.1163440682
1637467200000,2021-11-21 04:00:00,FIL/USD,53.4955,54.4924,51.6888,52.0885,21196.63207339,1104100.769754775
1637380800000,2021-11-20 04:00:00,FIL/USD,54.1492,54.7141,52.25,53.4955,30512.93271065,1632304.591822577
1637294400000,2021-11-19 04:00:00,FIL/USD,51.6748,55.2993,51.6679,54.1492,33105.55805313,1792639.484130547
1637208000000,2021-11-18 04:00:00,FIL/USD,57.6161,57.6161,48.7234,51.6748,49656.50845345,2565990.143030338
1637121600000,2021-11-17 04:00:00,FIL/USD,54.3774,58.0517,54.2067,57.6161,32194.30315605,1854910.1900692924
1637035200000,2021-11-16 04:00:00,FIL/USD,57.7106,58.3706,52.2183,54.3774,66601.8238749,3621634.0175749874
1636948800000,2021-11-15 04:00:00,FIL/USD,62.7981,62.9691,55.8876,57.7106,38906.19341541,2245299.76571936
1636862400000,2021-11-14 04:00:00,FIL/USD,62.8766,63.4209,61.11,62.7981,19902.6650571,1249849.5505222713
1636776000000,2021-11-13 04:00:00,FIL/USD,63.0307,63.7243,62.3,62.8766,15798.6008633,993362.3070413688
1636689600000,2021-11-12 04:00:00,FIL/USD,63.3461,63.5949,62.5082,63.0307,13723.04186055,864972.934599769
1636603200000,2021-11-11 04:00:00,FIL/USD,63.7438,64.4856,61.8162,63.3461,21128.20536402,1338389.4098097472
1636516800000,2021-11-10 04:00:00,FIL/USD,67.0518,69.1592,58.6806,63.7438,82176.88714054,5238267.058509153
1636430400000,2021-11-09 04:00:00,FIL/USD,65.2688,69.586,63.6136,67.0518,98503.94924678,6604867.104105243
1636344000000,2021-11-08 04:00:00,FIL/USD,63.1936,65.9432,62.3551,65.2688,64661.87128258,4220402.744368457
1636257600000,2021-11-07 04:00:00,FIL/USD,61.7243,63.9286,61.1705,63.1936,16040.15968499,1013635.435069384
1636171200000,2021-11-06 04:00:00,FIL/USD,63.257,63.6465,58.1572,61.7243,41225.99711711,2544645.8138556327
1636084800000,2021-11-05 04:00:00,FIL/USD,62.6974,64.4101,61.5374,63.257,35140.99678942,2222914.033908341
1635998400000,2021-11-04 04:00:00,FIL/USD,63.6729,63.6729,61.2,62.6974,15326.51368351,960932.5590204999
1635912000000,2021-11-03 04:00:00,FIL/USD,64.7307,65.3284,61.6314,63.6729,30398.52806781,1935562.4378088592
