https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1646798400000,2022-03-09 04:00:00,MANA/USD,2.50519,2.51143,2.41526,2.42271,96318.318691,233351.3538758726
1646712000000,2022-03-08 04:00:00,MANA/USD,2.41304,2.51951,2.38945,2.50519,28426.815507,71214.57393998132
1646625600000,2022-03-07 04:00:00,MANA/USD,2.35586,2.52285,2.30225,2.41304,282962.299632,682799.3475040012
1646539200000,2022-03-06 04:00:00,MANA/USD,2.52081,2.53238,2.33661,2.35586,238444.706241,561742.3456449222
1646452800000,2022-03-05 04:00:00,MANA/USD,2.49778,2.59242,2.46867,2.52081,83683.041398,210949.04758649238
1646366400000,2022-03-04 04:00:00,MANA/USD,2.54868,2.6364,2.40895,2.49778,493922.023437,1233708.5517004698
1646280000000,2022-03-03 04:00:00,MANA/USD,2.69847,2.74659,2.51485,2.54868,357380.04991,910847.3856046188
1646193600000,2022-03-02 04:00:00,MANA/USD,2.84891,2.84891,2.67972,2.69847,82365.691816,222261.34839472154
1646107200000,2022-03-01 04:00:00,MANA/USD,2.79717,2.92713,2.74487,2.84891,346950.302357,988430.1858878809
1646020800000,2022-02-28 04:00:00,MANA/USD,2.53823,2.88993,2.50587,2.79717,598582.509041,1674337.036814214
1645934400000,2022-02-27 04:00:00,MANA/USD,2.57428,2.74817,2.45825,2.53823,1195156.521726,3033582.138140585
1645848000000,2022-02-26 04:00:00,MANA/USD,2.7436,2.75884,2.534,2.57428,486746.376909,1253021.4631493005
1645761600000,2022-02-25 04:00:00,MANA/USD,2.64273,2.86916,2.52418,2.7436,499126.098104,1369402.3627581343
1645675200000,2022-02-24 04:00:00,MANA/USD,2.30905,2.68336,2.30905,2.64273,46828.857461,123756.02647790853
1645588800000,2022-02-23 04:00:00,MANA/USD,2.59177,2.80875,2.30386,2.30905,532363.938152,1229254.9513898755
1645502400000,2022-02-22 04:00:00,MANA/USD,2.40307,2.68828,2.38821,2.59177,273049.192671,707680.7060889177
1645416000000,2022-02-21 04:00:00,MANA/USD,2.81276,2.945,2.38402,2.40307,579512.049297,1392608.020304142
1645329600000,2022-02-20 04:00:00,MANA/USD,2.77849,2.87142,2.61412,2.81276,318537.610999,895969.8507135473
1645243200000,2022-02-19 04:00:00,MANA/USD,2.96889,3.01905,2.75944,2.77849,345189.805599,959106.4229587656
1645156800000,2022-02-18 04:00:00,MANA/USD,3.10396,3.17631,2.90962,2.96889,303524.945732,901132.1761342775
1645070400000,2022-02-17 04:00:00,MANA/USD,3.27336,3.34773,3.00131,3.10396,703593.531869,2183926.1791801015
1644984000000,2022-02-16 04:00:00,MANA/USD,3.31646,3.3775,3.16888,3.27336,244118.702214,799088.395079219
1644897600000,2022-02-15 04:00:00,MANA/USD,2.97,3.40128,2.94253,3.31646,414614.128716,1375051.1733214655
1644811200000,2022-02-14 04:00:00,MANA/USD,2.75598,2.99496,2.72468,2.97,523343.035466,1554328.81533402
1644724800000,2022-02-13 04:00:00,MANA/USD,2.9224,2.97027,2.7196,2.75598,325087.048204,895933.4031092599
1644638400000,2022-02-12 04:00:00,MANA/USD,2.94304,3.01905,2.82196,2.9224,294934.268841,861915.9072609384
1644552000000,2022-02-11 04:00:00,MANA/USD,3.24848,3.26712,2.85645,2.94304,653661.406941,1923751.6670836406
1644465600000,2022-02-10 04:00:00,MANA/USD,3.25829,3.3714,3.09213,3.24848,462282.39627,1501715.1186351697
1644379200000,2022-02-09 04:00:00,MANA/USD,3.32796,3.33309,3.21666,3.25829,28853.986138,94014.65449358402
1644292800000,2022-02-08 04:00:00,MANA/USD,3.32134,3.55,3.11695,3.32796,556691.972635,1852648.6172503748
1644206400000,2022-02-07 04:00:00,MANA/USD,3.30791,3.45,3.20477,3.32134,636040.50344,2112506.76569541
1644120000000,2022-02-06 04:00:00,MANA/USD,3.08654,3.41,3.02127,3.30791,1261277.392898,4172192.1007412234
1644033600000,2022-02-05 04:00:00,MANA/USD,2.96701,3.167,2.86388,3.08654,342712.291356,1057795.1957619481
1643947200000,2022-02-04 04:00:00,MANA/USD,2.67186,3.02334,2.581,2.96701,358218.32865,1062837.3632878365
