https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1646107200000,2022-03-01 04:00:00,COMP/USD,119.52,128.27,117.95,126.62,1203.390429,152373.29611998002
1646020800000,2022-02-28 04:00:00,COMP/USD,106.56,123.32,105.47,119.52,2400.382947,286893.76982544
1645934400000,2022-02-27 04:00:00,COMP/USD,108.87,117.64,105.4,106.56,2651.68453,282563.5035168
1645848000000,2022-02-26 04:00:00,COMP/USD,114.96,115.68,108.51,108.87,513.814465,55938.98080455001
1645761600000,2022-02-25 04:00:00,COMP/USD,108.99,116.28,103.0,114.96,476.122681,54735.06340776
1645675200000,2022-02-24 04:00:00,COMP/USD,100.0,110.38,100.0,108.99,90.755253,9891.41502447
1645588800000,2022-02-23 04:00:00,COMP/USD,112.32,117.89,99.84,100.0,845.061971,84506.19709999999
1645502400000,2022-02-22 04:00:00,COMP/USD,104.09,113.64,103.77,112.32,900.51741,101146.1154912
1645416000000,2022-02-21 04:00:00,COMP/USD,117.42,119.9,103.03,104.09,632.666088,65854.21309992
1645329600000,2022-02-20 04:00:00,COMP/USD,118.89,119.23,112.69,117.42,278.463143,32697.142251060002
1645243200000,2022-02-19 04:00:00,COMP/USD,123.07,124.8,118.2,118.89,1398.702017,166291.68280113
1645156800000,2022-02-18 04:00:00,COMP/USD,124.44,126.16,118.6,123.07,167.75353,20645.4269371
1645070400000,2022-02-17 04:00:00,COMP/USD,132.52,135.16,121.5,124.44,878.289244,109294.31352336
1644984000000,2022-02-16 04:00:00,COMP/USD,133.46,138.12,129.2,132.52,1761.105925,233381.75718100002
1644897600000,2022-02-15 04:00:00,COMP/USD,131.99,136.69,130.72,133.46,584.457025,78001.63455650001
1644811200000,2022-02-14 04:00:00,COMP/USD,122.77,132.33,121.61,131.99,1343.182265,177286.62715735
1644724800000,2022-02-13 04:00:00,COMP/USD,128.14,129.35,121.18,122.77,156.936905,19267.14382685
1644638400000,2022-02-12 04:00:00,COMP/USD,127.63,130.5,124.7,128.14,183.280756,23485.596073839995
1644552000000,2022-02-11 04:00:00,COMP/USD,132.86,137.7,123.67,127.63,848.642565,108312.25057095
1644465600000,2022-02-10 04:00:00,COMP/USD,143.27,144.93,130.49,132.86,827.855275,109988.8518365
1644379200000,2022-02-09 04:00:00,COMP/USD,144.2,144.2,141.92,143.27,21.331226,3056.1247490200003
1644292800000,2022-02-08 04:00:00,COMP/USD,148.43,151.88,136.6,144.2,1737.520726,250550.48868919996
1644206400000,2022-02-07 04:00:00,COMP/USD,143.74,150.92,140.9,148.43,1070.793648,158937.90117264
1644120000000,2022-02-06 04:00:00,COMP/USD,138.31,145.11,133.73,143.74,2731.025711,392557.63569913997
1644033600000,2022-02-05 04:00:00,COMP/USD,134.45,141.95,132.47,138.31,1964.26926,271678.0813506
1643947200000,2022-02-04 04:00:00,COMP/USD,127.14,136.29,127.11,134.45,1759.689761,236590.28836645
1643860800000,2022-02-03 04:00:00,COMP/USD,118.62,127.97,117.14,127.14,666.593648,84750.71640672
1643774400000,2022-02-02 04:00:00,COMP/USD,126.14,126.14,117.82,118.62,589.37519,69911.6850378
1643688000000,2022-02-01 04:00:00,COMP/USD,123.48,129.62,122.05,126.14,498.946175,62937.070514499996
1643601600000,2022-01-31 04:00:00,COMP/USD,114.89,124.08,113.0,123.48,660.353445,81540.4433886
1643515200000,2022-01-30 04:00:00,COMP/USD,121.22,123.82,113.82,114.89,1739.082987,199803.24437643
1643428800000,2022-01-29 04:00:00,COMP/USD,123.01,126.55,121.04,121.22,1141.847503,138414.75431366
1643342400000,2022-01-28 04:00:00,COMP/USD,124.64,125.82,118.52,123.01,1912.213009,235221.32223709
1643256000000,2022-01-27 04:00:00,COMP/USD,120.33,129.59,119.1,124.64,1641.705139,204622.12852496
1643169600000,2022-01-26 04:00:00,COMP/USD,127.82,136.2,119.07,120.33,953.033999,114678.58109967
1643083200000,2022-01-25 04:00:00,COMP/USD,124.16,128.2,121.93,127.82,2032.375972,259778.29674104
1642996800000,2022-01-24 04:00:00,COMP/USD,122.74,125.82,110.0,124.16,3088.93756,383522.48744959995
1642910400000,2022-01-23 04:00:00,COMP/USD,124.03,130.96,121.49,122.74,2438.004067,299240.61918358
1642824000000,2022-01-22 04:00:00,COMP/USD,137.4,138.21,111.89,124.03,1638.688178,203246.49471734
1642737600000,2022-01-21 04:00:00,COMP/USD,153.09,155.6,135.55,137.4,940.823187,129269.1058938
1642651200000,2022-01-20 04:00:00,COMP/USD,169.76,177.06,151.51,153.09,474.66804,72666.9302436
1642564800000,2022-01-19 04:00:00,COMP/USD,174.85,174.85,167.37,169.76,601.079045,102039.17867919999
1642478400000,2022-01-18 04:00:00,COMP/USD,180.47,182.54,173.44,174.85,1252.277723,218960.75986654998
1642392000000,2022-01-17 04:00:00,COMP/USD,184.91,185.66,177.94,180.47,1251.240763,225811.42049861
1642305600000,2022-01-16 04:00:00,COMP/USD,189.23,192.67,184.91,184.91,1197.436864,221418.05052224
1642219200000,2022-01-15 04:00:00,COMP/USD,191.83,199.47,187.74,189.23,1566.852198,296495.44142754
1642132800000,2022-01-14 04:00:00,COMP/USD,188.99,193.07,182.94,191.83,1285.319339,246562.80880037
1642046400000,2022-01-13 04:00:00,COMP/USD,194.7,202.11,185.19,188.99,1360.942652,257204.55180148
1641960000000,2022-01-12 04:00:00,COMP/USD,192.55,199.0,192.55,194.7,134.626031,26211.6882357
1641873600000,2022-01-11 04:00:00,COMP/USD,187.29,193.28,181.62,192.55,688.521098,132574.73741990002
1641787200000,2022-01-10 04:00:00,COMP/USD,192.91,197.16,175.66,187.29,1458.326833,273130.03255257
1641700800000,2022-01-09 04:00:00,COMP/USD,193.36,200.13,189.61,192.91,1958.906742,377892.69959921995
1641614400000,2022-01-08 04:00:00,COMP/USD,195.06,198.22,181.0,193.36,3573.176882,690909.4819035201
1641528000000,2022-01-07 04:00:00,COMP/USD,192.02,200.2,185.89,195.06,900.928581,175735.12900986001
1641441600000,2022-01-06 04:00:00,COMP/USD,197.01,205.6,191.05,192.02,1323.852062,254206.07294524
1641355200000,2022-01-05 04:00:00,COMP/USD,233.22,235.56,196.55,197.01,693.112507,136550.09500407
1641268800000,2022-01-04 04:00:00,COMP/USD,218.96,236.23,214.09,233.22,3293.037551,768002.21764422
1641182400000,2022-01-03 04:00:00,COMP/USD,206.55,225.0,206.55,218.96,3317.518275,726403.801494
1641096000000,2022-01-02 04:00:00,COMP/USD,206.11,211.78,202.35,206.55,2057.379142,424951.66178009997
1641009600000,2022-01-01 04:00:00,COMP/USD,202.43,212.92,197.52,206.11,2022.379345,416832.60679795005
1640923200000,2021-12-31 04:00:00,COMP/USD,202.17,208.9,194.04,202.43,3511.659129,710865.15748347
1640836800000,2021-12-30 04:00:00,COMP/USD,193.49,205.6,193.3,202.17,1443.454742,291823.24519014
1640750400000,2021-12-29 04:00:00,COMP/USD,210.97,212.11,193.22,193.49,1256.173182,243056.94898518
1640664000000,2021-12-28 04:00:00,COMP/USD,223.43,224.94,208.11,210.97,1533.437646,323509.34017662
