https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1639699200000,2021-12-17 00:00:00,ONE/USDT,0.19525000,0.20892000,0.18280000,0.20041000,231582403.80000000,45536385.86912200,136134
1639612800000,2021-12-16 00:00:00,ONE/USDT,0.18970000,0.21292000,0.18950000,0.19521000,319771480.60000000,64561479.20837000,169189
1639526400000,2021-12-15 00:00:00,ONE/USDT,0.17269000,0.20000000,0.16773000,0.18962000,282166152.20000000,50753527.55615100,130874
1639440000000,2021-12-14 00:00:00,ONE/USDT,0.16805000,0.17396000,0.16369000,0.17258000,139958756.90000000,23631578.55837800,71635
1639353600000,2021-12-13 00:00:00,ONE/USDT,0.18822000,0.18991000,0.16412000,0.16800000,216394990.90000000,37931657.51695800,112469
1639267200000,2021-12-12 00:00:00,ONE/USDT,0.17720000,0.19371000,0.17262000,0.18822000,186570946.10000000,34281155.61700000,84708
1639180800000,2021-12-11 00:00:00,ONE/USDT,0.16544000,0.17842000,0.16259000,0.17720000,127022494.30000000,21845349.43513300,55976
1639094400000,2021-12-10 00:00:00,ONE/USDT,0.17684000,0.18481000,0.16326000,0.16535000,184251058.10000000,32442377.59578900,84834
1639008000000,2021-12-09 00:00:00,ONE/USDT,0.19801000,0.20058000,0.17608000,0.17684000,172772816.20000000,32315046.94268900,94425
1638921600000,2021-12-08 00:00:00,ONE/USDT,0.19785000,0.19966000,0.18121000,0.19798000,222094928.80000000,42522242.42379100,113839
